brand,year,month,country,model,segment,engine_type,price_usd,marketing_spend_usd,dealership_count,fuel_price_usd,gdp_growth_percent,interest_rate_percent,competition_index,units_sold
BMW,2020,12,India,iX,Electric,Petrol,100425,430791,200.0,1.146235567352459,6.573081562027015,6.573405958770348,6,827
Volkswagen,2018,6,India,Arteon,Sedan,Hybrid,77354,530350,69.0,0.99,7.37,6.61,7,1963
Toyota,2020,9,Netherlands,Prius,Hybrid,,40740,496842,83.0,2.1,,3.72,6,2235
Porsche,2018,2,Australia,Taycan,Electric,Electric,104777,131030,22.0,1.54,3.08,4.47,3,error
Mercedes-Benz,2024,12,Italy,S-Class,sedan,Diesel,128965,207175,57.0,1.77,0.86,3.64,6,1001
Porsche,2023,4,Germany,Macan EV,Electric,Petrol,176336,288601,2.0,1.9,2.27,3.25,7,472
Volkswagen,2017,3,USA,Polo,Sedan,DIESEL,,246261,46.0,0.93,,4.34,9,2416
Volkswagen,2019,8,Japan,T-Roc,SUV,Electric,29886,307783,41.0,1.46,1.53,0.27,8,154
Porsche,2020,9,Spain,718,SEDAN,Hybrid,151484,288757,12.0,1.66,1.04,3.68,2,113
Mercedes-Benz,2015,5,Spain,S-Class,Sedan,Diesel,107568,93451,39.0,1.82,0.84,3.23,8,172
Toyota,2015,5,India,Prius,Hybrid,Petrol,69347,440823,94.0,1.12,7.31,6.43,1,1295
Audi,2024,10,Italy,e-tron,Electric,Hybrid,84130,470966,12.0,1.79,1.18,3.3,6,1029
Porsche,2019,9,Canada,Cayenne,SUV,Petrol,175058,396232,,1.2,2.14,4.24,7,255
Porsche,2018,3,France,Cayenne Coupe,SUV,Petrol,151135,303978,15.0,1.8,1.95,3.39,4,299
Porsche,2022,9,Japan,Panamera,Sedan,Hybrid,146264,137119,10.0,1.56,,0.32,7,321
Mercedes-Benz,2017,3,Canada,S-Class,Sedan,Hybrid,57702,324033,29.0,1.21,1.76,3.79,9,1282
Toyota,2018,6,Canada,RAV4,SUV,Electric,23860,347728,79.0,1.33,2.41,4.19,2,229
Audi,2015,8,Brazil,A4,Sedan,Hybrid,61176,86343,57.0,,3.66,10.42,9,55
Mercedes-Benz,2022,8,Netherlands,CLA,Sedan,Petrol,63773,212241,36.0,1.93,1.76,3.69,10,86
Audi,2021,5,Japan,Q3,SUV,Diesel,49867,410758,8.0,1.51,1.27,0.35,1,695
BMW,2019,11,Australia,i7,SUV,Electric,42371,323541,319.0,1.6939819704323988,3.2080725777960453,3.962350696577481,5,730
Audi,2021,8,Spain,RS6,Sedan,petrol,,349509,56.0,1.85,1.72,3.36,2,405
FORD,2023,1,Australia,Escape,SUV,Hybrid,40218,281742,99.0,1.58,2.9,4.04,2,3057
Tesla,2023,1,France,Cybertruck,Electric,Electric,113945,108838,23.0,1.78,1.82,3.52,6,1950
Toyota,2024,5,France,RAV4,SUV,Petrol,79979,318291,40.0,1.8,1.32,3.34,9,1830
Mercedes-Benz,2020,2,France,GLE,SUV,Diesel,119147,235656,59.0,1.75,1.93,3.71,4,
Ford,2015,2,Brazil,Escape,SUV,PETROL,28449,286360,112.0,1.22,3.67,10.24,2,3456
Volkswagen,2019,10,USA,T-Roc,S U V,Petrol,48612,432808,51.0,1.02,2.48,4.78,3,410
Tesla,2018,12,Canada,Model X,Electric,Electric,105733,141468,21.0,1.4,2.51,4.1,9,1746
Ford,2020,2,,Explorer,,Electric,81822,666265,46.0,1.44,1.68,0.3,10,1836
Audi,2022,4,Netherlands,Q7,SUV,Electric,85793,504602,26.0,1.91,1.99,3.46,1,389
Mercedes-Benz,2021,9,Japan,S-Class,Sedan,Petrol,113143,182921,,1.45,1.05,0.19,10,1051
Ford,2024,12,Italy,Edge,SUV,Petrol,73194,757297,106.0,1.85,1.42,3.69,10,2932
Ford,2019,11,India,Ranger,SUV,Hybrid,65583,705106,43.0,0.98,,6.22,7,64
Porsche,2021,6,USA,Macan,SUV,Electric,151332,274733,9.0,1.01,2.71,4.55,6,283
Mercedes-Benz,2023,2,Germany,GLC,SUV,Diesel,67966,422486,21.0,2.0,2.29,2.79,3,123
BMW,2018,11,USA,iX,Sedan,Diesel,,327721,126.0,0.9913430092765712,2.152539042914261,4.545773016100088,2,634
Ford,2024,12,Italy,Mustang Mach-E,Electric,Electric,31683,659270,40.0,1.89,0.99,3.35,10,3450
BMW,2018,10,Brazil,5 Series,SUV,Hybrid,70081,164881,141.0,1.2130266367178415,3.8721239089441513,10.759270969490167,9,529
Ford,2021,8,Mexico,Ranger,SUV,Hybrid,39098,255537,41.0,1.0,1.63,10.83,10,384
Volkswagen,2024,7,Germany,Touareg,SUV,Electric,26032,418015,80.0,1.93,2.16,2.73,3,534
Tesla,2021,11,Germany,Model 3 LR,Electric,Electric,,164233,3.0,1.93,,3.02,9,1428
Tesla,2017,12,USA,Semi,Electric,Electrc,98133,270271,,0.97,2.63,4.61,7,50
Volkswagen,2015,6,Italy,Tiguan,SUV,Hybrid,32970,416504,25.0,1.93,1.17,3.62,4,1678
Tesla,2016,3,China,Model 3,Electrc,Electric,122387,270067,39.0,1.09,6.32,3.45,7,1024
Tesla,2016,3,Netherlands,Model S Plaid,,Electric,41819,208731,34.0,,1.8,3.55,5,1892
Toyota,2024,6,Netherlands,C-HR,SUV,Electric,28655,386833,87.0,1.92,2.03,3.68,8,989
Porsche,2019,5,Mexico,Cayenne,SUV,Hybrid,162668,164301,22.0,1.03,1.75,10.82,6,416
Tesla,2020,9,Australia,Model X Plaid,Electric,Electric,51446,221093,10.0,1.52,2.88,4.27,7,446
Volkswagen,2015,2,UK,Touareg,SUV,Hybrid,69042,306054,54.0,1.8,1.15,5.08,2,554
Tesla,2019,9,France,Model 3,Electric,electric,110992,17624,18.0,1.73,2.06,3.54,7,1480
Toyota,2015,7,Mexico,Camry,Sedan,Hybrid,32362,618173,73.0,1.03,1.51,10.87,9,124
Tesla,2024,7,Brazil,Semi,Electric,Electric,124647,123810,38.0,1.18,3.66,10.21,3,2316
Audi,2024,8,France,RS6,Sedan,Diesel,58938,58529,40.0,1.8,,3.42,8,335
Toyota,2022,10,Canada,Yaris,Sedan,Hybrid,32294,112812,61.0,1.21,2.3,4.21,7,285
Tesla,2023,3,Germany,Semi,Electric,Electric,68430,173600,14.0,1.91,1.68,2.99,9,2278
Tesla,2018,1,France,Cybertruck,Electric,Electric,102532,195473,31.0,1.79,1.53,3.29,1,621
Audi,2016,7,Italy,A4,Sedan,Electric,114904,341713,6.0,1.91,0.77,3.22,5,711
BMW,2024,12,France,7 Series,SUV,Diesel,84646,277966,282.0,1.8800037283696207,1.1109958286584805,3.282131378041284,7,736
BMW,2021,8,Australia,7 Series,Electrc,Electric,106466,"$78,885",329.0,1.686151465120713,3.2764129607419967,4.15448212415181,1,749
Toyota,2024,12,Italy,RAV4,SUV,Hybrid,88008,236854,32.0,1.83,1.04,3.66,1,1482
Mercedes-Benz,2023,4,UK,E-Class,Sedan,Hybrid,121226,69737,38.0,1.78,1.54,4.89,3,1027
Audi,2022,8,Mexico,RS6,Sedan,Petrol,84387,211579,12.0,1.08,2.16,11.08,6,501
BMW,2017,11,China,5 Series,Electric,Electric,118434,442704,64.0,1.0984555712896071,5.680976952709489,3.7126310560217473,4,216
Audi,2016,4,Germany,e-tron,Electric,Petrol,89579,498760,11.0,1.9,1.41,2.78,1,289
Volkswagen,2017,4,US,Golf,Sedan,Electric,33396,112409,76.0,0.97,2.28,4.46,10,1632
Ford,2016,7,China,Escape,SUV,Petrol,94629,72852,36.0,,6.36,3.45,7,330
Porsche,2017,2,,Cayenne Coupe,SUV,Electric,65739,290476,28.0,1.51,2.97,3.98,8,389
Ford,2021,9,Japan,Edge,SUV,Petrol,94785,328113,114.0,1.49,1.4,-0.1,5,1505
TESLA,2019,5,USA,Model X,Electric,Electric,56053,103000,33.0,0.97,2.72,4.67,5,898
Ford,2018,5,India,Mustang Mach-E,Electric,Petrol,50313,548051,72.0,1.13,6.95,6.7,1,1242
Mercedes-Benz,2024,9,Spain,E-Class,Sedan,Diesel,84415,75034,19.0,1.8,1.43,3.53,3,608
Porsche,2019,2,Canada,GTS,Sedan,Hybrid,173555,131216,25.0,1.32,2.34,3.87,8,486
Tesla,2018,12,China,Model S Plaid,Electric,Electric,43237,98727,27.0,1.09,5.8,3.23,6,363
Toyota,2024,6,Australia,Prius,Hybrid,Hybrid,20897,648648,27.0,1.63,2.9,4.45,1,2658
Ford,2021,3,Japan,Ranger,SUV,Hybrid,83132,668788,100.0,1.44,1.5,-0.18,2,1173
BMW,2022,6,Germany,X5,Electric,Diesel,56650,357481,168.0,1.903783541056568,1.718770524892073,2.9298831169496986,3,753
Mercedes-Benz,2015,2,China,EQS,Electric,Electric,82135,363928,23.0,1.04,6.23,3.72,5,397
Mercedes-Benz,2020,2,USA,E-Class,Sedan,Electric,43722,178470,32.0,0.96,2.8,4.64,9,574
Porsche,2016,5,USA,Macan,SUV,Electric,132946,329849,17.0,0.92,2.5,4.56,4,6
Mercedes-Benz,2017,35,Germany,E-Class,Sedan,Diesel,127865,596915,38.0,1.86,1.62,2.95,9,237
BMW,2022,2,UK,X5,Sedan,Diesel,77674,,308.0,,1.8772005408131085,4.935467064453581,10,925
Toyota,2016,6,France,Camry,Sedan,Petrol,46545,,78.0,1.87,1.81,3.39,4,1370
Toyota,2015,4,China,Camry,Sedan,Electric,67481,284663,88.0,1.09,5.68,3.74,3,2536
Audi,2017,3,Canada,e-tron,Electric,Electric,44280,242186,40.0,1.38,2.12,4.03,9,287
Tesla,2019,7,UK,Model S,Electric,,93409,17890,25.0,,1.49,4.81,2,1692
BMW,2024,8,Australia,i4,Electric,Petrol,35901,,38.0,1.6593074581952354,3.4208478478156867,4.319990188712443,6,207
BMW,2016,12,UK,3 Series,SUV,Diesel,111382,321189,225.0,1.895143901677672,1.822537242923169,5.269879947975155,4,
Porsche,2024,1,Canada,718,Sedan,Hybrid,180532,364148,6.0,1.37,1.98,3.76,1,359
Audi,2019,8,France,A3,Sedan,Electric,112599,539722,39.0,1.73,1.31,3.78,10,1058
Ford,2021,10,India,Ranger,SUV,Hybrid,86771,134381,58.0,1.13,7.05,6.52,2,360
Tesla,2017,7,China,Model S Plaid,Electric,Electric,85554,175060,33.0,1.12,6.36,3.5,4,1863
Tesla,2019,12,Australia,Cybertruck,Electric,Electric,45655,129131,21.0,1.7,3.01,4.53,1,190
Audi,2018,2,Mexico,Q7,SUV,Hybrid,111299,259754,55.0,1.09,1.98,11.1,7,991
Toyota,2024,7,India,Land Cruiser,SUV,Electric,75165,442871,61.0,1.01,,6.42,1,2057
Mercedes-Benz,2024,1,Canada,A-Class,Sedan,Diesel,46398,523920,35.0,1.35,1.94,4.15,9,883
Porsche,2018,8,USA,911,Sedan,Electric,103122,377731,10.0,0.96,2.73,4.65,6,116
Tesla,2024,4,Brasil,Semi,Electric,Electric,127640,281404,26.0,1.18,3.75,10.4,5,75
Volkswagen,2024,9,Japan,Tiguan,SUV,diesel,63429,419935,15.0,1.45,1.31,0.23,8,2199
Frod,2022,7,Germany,Bronco,,Hybrid,64010,485765,112.0,1.9,1.34,2.95,5,3689
BMW,2023,11,BRAZIL,  3 Series  ,SUV,Diesel,53557,219357,187.0,1.107344272500164,3.007664032649225,10.331441285461114,1,599
Toyota,2023,1,Mexico,Supra,Sedan,Electric,49228,311484,55.0,1.02,2.32,11.18,7,2452
Mercedes-Benz,2015,5,Mexico,GLS,SUV,Electric,116528,102302,9.0,1.11,1.71,11.1,4,1108
Toyota,2018,12,China,RAV4,SUV,Petrol,40251,531571,14.0,1.07,6.31,3.46,9,185
Porsche,2024,1,Italy,Cayenne Coupe,SUV,Petrol,186996,254634,14.0,1.87,0.9,3.59,7,438
Mercedes-Benz,2019,12,USA,GLC,SUV,Hybrid,93080,282042,30.0,0.91,2.56,4.71,8,442
Volkswagen,2019,3,Spain,Tiguan,SUV,Hybrid,40374,446682,27.0,1.67,0.86,3.44,7,646
Audi,2017,6,Spain,A3,Sedan,Diesel,80811,429365,26.0,1.68,0.89,3.32,3,514
Tesla,2015,7,Netherlands,Model S,Electric,Electric,71390,193098,36.0,2.07,2.5,3.24,6,2173
Audi,2019,6,Brazil,RS6,Sedan,Electric,82730,548862,56.0,1.19,3.35,10.79,7,1160
Teslla,2020,3,Brazil,Model S Plaid,Electric,Electric,104594,166602,33.0,1.23,3.54,10.23,6,1282
Tesla,2021,8,Mexico,Model S Plaid,Electric,Electric,106689,275741,30.0,1.2,,11.0,1,2342
Mercedes-Benz,2020,3,Japan,E-Class,Sedan,Hybrid,61949,404570,22.0,1.42,1.43,-0.18,2,322
Tesla,2020,2,France,Model S,electric,Electric,51762,25825,16.0,1.87,1.79,3.66,3,167
AUDI,2022,2,France,A6,Sedan,Petrol,49304,196613,10.0,1.88,1.86,3.3,10,95
Volkswagen,2020,7,China,Tiguan,SUV,Petrol,58026,70636,16.0,1.1,6.08,3.21,1,843
Volkswagen,2022,4,China,Polo,Sedan,Petrol,74560,503424,88.0,1.08,6.46,3.38,5,1635
Audi,2019,5,Australia,A3,Sedan,Electric,38001,423164,42.0,,3.06,4.0,2,87
Volkswagen,2023,10,Spain,Tiguan,SUV,petrol,20428,126200,79.0,1.83,1.78,3.73,4,1335
Porsche,2024,4,Brazil,911,Sedan,Hybrid,110075,227919,27.0,1.18,3.78,10.47,2,28
Volkswagen,2023,2,Mexico,Arteon,Sedan,Petrol,50742,483672,87.0,1.14,1.52,11.07,6,1030
Ford,2019,4,China,Mustang Mach-E,Electric,Petrol,89472,51850,98.0,1.14,6.31,3.25,10,3428
Mercedes-Benz,2024,8,Canada,E-Class,Sedan,Diesel,125369,347849,,1.22,1.83,3.93,2,714
Ford,2021,12,Brazil,Mustang Mach-E,Electric,Electric,52510,322029,114.0,1.28,3.84,10.53,8,2814
Tesla,2020,9,Netherlands,Model 3 LR,Electric,Electric,121873,72511,25.0,2.01,1.68,3.21,4,
Volkswagen,2023,1,China,ID.3,Electric,Hybrid,25909,460988,57.0,1.1,5.56,3.57,5,1779
Tesla,2024,2,Mexico,Model 3,Electric,Electric,56067,242092,17.0,1.03,1.54,11.18,4,2294
Mercedes-Benz,2021,2,India,CLA,Sedan,Diesel,57799,256865,55.0,1.1,7.33,6.54,5,269
Ford,2015,9,Italy,Escape,SUV,Electric,48684,258677,109.0,1.8,0.73,3.79,6,1942
Ford,2024,11,Spain,F-150 Lightning,Electric,Electric,81599,74148,30.0,1.83,1.25,3.38,8,3828
Mercedes-Benz,2020,4,Brazil,GLS,SUV,Hybrid,50717,465282,25.0,1.24,3.05,10.44,9,928
Audi,2015,7,Germany,TT,Sedan,Hybrid,58440,437341,56.0,1.99,1.57,2.84,3,1133
BMW,2023,6,Brasil,X3,Sedan,Electric,100681,245413,103.0,1.122144118665263,3.380400548970409,10.786080197106395,3,235
Porsche,2019,7,China,Taycan,Electric,Hybrid,198950,345106,20.0,,6.11,3.23,2,483
Ford,2023,3,Germany,Edge,SUV,Petrol,79304,595903,111.0,1.85,1.71,2.88,1,924
Toyota,2015,6,Germany,bZ4X,electric,Hybrid,82919,571761,16.0,1.99,2.12,3.18,6,784
Porsche,2016,11,France,Macan EV,Electric,Hybrid,186926,276896,6.0,1.88,1.86,3.59,2,246
Mercedes-Benz,2021,6,Brazil,EQS,Electric,Hybrid,95967,436958,43.0,1.13,3.09,10.46,3,430
BMW,2021,3,Germany,X1,SUV,Diesel,74449,,58.0,1.8711345432929896,1.6892956140419766,2.87321624206242,2,542
Ford,2022,6,Netherlands,Explorer,SUV,Electric,48692,66499,106.0,1.94,,3.73,8,646
Toyota,2021,8,USA,Yaris,Sedan,Hybrid,22182,79499,43.0,0.93,2.93,4.55,10,625
Ford,2024,3,UK,F-150,SUV,Hybrid,39508,436642,49.0,1.83,,4.79,10,1933
Volkswagen,2022,6,Mexico,Golf,Sedan,Electric,66121,150354,48.0,1.05,1.71,10.85,1,1136
Audi,2022,10,Italy,A3,Sedan,Diesel,36863,161663,57.0,1.87,1.2,3.31,2,529
Toyota,2024,6,Mexico,Corolla,,Hybrid,21933,456622,41.0,1.11,2.36,10.92,10,2318
Toyota,2022,10,Netherlands,Supra,Sedan,Hybrid,49906,,49.0,2.04,2.49,3.58,5,1646
PORSCHE,2022,1,China,Macan,SUV,Petrol,114954,150581,15.0,1.02,6.16,3.46,9,392
Porsche,2016,4,Netherlands,Cayenne,SUV,Electric,194205,340006,11.0,,2.2,3.59,6,76
Ford,2023,4,Spain,F-150 Lightning,Electric,Petrol,43817,111829,71.0,1.73,1.52,3.53,7,1963
Ford,2018,4,France,Ranger,SUV,Petrol,34932,687534,,1.84,1.27,3.61,2,3890
Ford,2020,1,Brazil,Mustang,Sedan,Hybrid,77452,725736,24.0,1.1,3.65,10.68,5,2781
BMW,2017,10,,5 Series,SUV,Electric,118886,186066,106.0,0.9789789744182448,7.408265885966654,6.343737134400183,3,357
Mercedes-Benz,2018,10,UK,GLS,SUV,Hybrid,41830,410032,29.0,1.87,1.68,4.74,9,539
Audi,2017,2,India,Q3,SUV,Petrol,103172,503801,26.0,1.11,6.66,6.21,3,1018
Ford,2017,6,India,Explorer,SUV,Hybrid,84439,451622,55.0,0.98,6.5,6.22,4,1523
BMW,2015,1,USA,7 Series,Electric,Hybrid,60186,305230,312.0,0.9253628615582612,,4.284014458531991,5,922
Audi,2019,10,Italy,A4,Sedan,,55629,530168,24.0,1.77,0.78,3.27,4,29
Mercedes-Benz,2023,3,France,EQE,Electric,Diesel,81045,290953,62.0,,1.62,3.64,10,294
Ford,2022,11,Italy,Expedition,SUV,Electric,91463,464411,31.0,1.89,1.02,3.79,1,1920
Volkswagen,2021,4,Netherlands,Passat,Sedan,Diesel,27961,285638,26.0,2.08,2.02,3.79,7,1399
Mercedes-Benz,2018,8,Italy,CLA,Sedan,Electric,79002,362766,42.0,1.89,0.75,3.21,7,901
Audo,2023,6,Italy,Q3,SUV,Diesel,56050,146054,40.0,1.77,1.15,3.45,1,829
Audi,2015,5,USA,RS6,Sedan,Electric,59505,540100,21.0,0.95,2.53,4.57,2,897
Audi,2022,7,India,A3,Sedan,Diesel,113377,403473,44.0,1.08,7.26,6.66,4,95
Audi,2017,4,Mexico,RS6,Sedan,Petrol,108515,143453,19.0,1.03,1.87,10.71,6,1171
Porsche,2015,5,Brazil,Macan,SUV,Electric,129100,237718,14.0,1.21,3.92,10.39,9,118
Mercedes-Benz,2019,4,Brazil,E-Class,Sedan,Petrol,113990,514968,23.0,1.11,3.47,10.29,1,569
Volkswagen,2024,2,Netherlands,Passat,Sedan,Diesel,35200,137174,24.0,2.06,2.19,3.66,3,2755
Volkswagen,2024,7,,Taos,SUV,Diesel,24769,207409,30.0,1.76,1.42,3.34,10,2038
Ford,2020,8,Brazil,Edge,SUV,Hybrid,44887,296790,66.0,1.27,3.73,10.69,9,2546
Tesla,2016,12,Mexico,Model X Plaid,Electric,Electric,124922,129629,23.0,1.15,1.82,11.1,10,2216
BMW,2017,2,Canada,3 Series,Sedan,Electric,63369,274522,153.0,1.309845332941224,1.8564370426710863,3.850145738898757,5,532
Mercedes-Benz,2022,12,,EQE,Electric,Hybrid,116444,431465,61.0,1.66,0.99,3.47,1,944
Porsche,2019,8,Germany,Panamera,Sedan,PETROL,70112,84806,25.0,1.87,1.58,2.81,1,196
Toyota,2018,3,USA,bZ4X,Electric,,25970,566162,50.0,1.03,2.74,4.57,4,1005
Tesla,2021,8,Netherlands,Model X Plaid,Electric,Electric,128320,166765,8.0,1.97,1.92,3.37,1,2151
Tesla,2019,12,China,Model 3,Electric,Electric,125786,104910,19.0,1.02,6.4,3.5,2,1773
Ford,2016,3,Canada,Bronco,SUV,Hybrid,68316,401858,34.0,1.27,,4.23,4,2786
Mercedes-Benz,2018,9,USA,E-Class,Sedan,DIESEL,93265,240386,48.0,0.93,2.07,4.67,10,537
TESLA,2024,1,China,Semi,Electric,Electric,127992,293628,13.0,1.04,6.1,3.49,8,899
Toyota,2023,9,Canada,RAV4,SUV,Petrol,45355,69594,74.0,1.25,2.42,4.05,6,2792
Porsche,2015,11,France,718,Sedan,Electric,125284,375286,29.0,1.87,1.97,3.29,10,99
BMW,2015,12,,7 Series,Electric,Diesel,39321,308916,115.0,1.2203784776132027,2.440904056152072,3.889762089837584,4,367
BMW,2018,5,FRANCE,i4,SUV,Electric,95973,395072,71.0,1.7835161551569858,1.886345014415552,3.253646601387356,1,536
Audi,2022,9,UK,Q7,SUV,Electric,113749,457955,12.0,1.77,1.04,4.85,9,24
Mercedes-Benz,2021,5,Mexico,GLC,SUV,Petrol,101543,389404,23.0,1.19,2.1,11.22,8,367
Porsche,2023,9,France,Macan EV,Electric,Electric,161671,,18.0,1.81,1.39,3.4,8,8
Tesla,2021,3,Germnay,Model 3 LR,Electric,Electric,129090,200121,39.0,2.0,1.7,2.85,1,1224
Mercedes-Benz,2023,8,France,GLS,SUV,Hybrid,40018,535796,20.0,1.78,2.04,3.61,1,779
BMW,2018,3,USA,X5,Sedan,Electric,47615,343459,38.0,0.930175661963354,,4.498349103535431,4,225
Audi,2019,7,UK,e-tron,Electric,Hybrid,57237,59234,49.0,1.86,1.63,5.0,1,121
Mercedes-Benz,2018,10,Spain,GLE,SUV,Electric,65574,392137,60.0,1.71,1.31,3.47,5,1251
Ford,2019,6,Germany,Mustang,Sedan,Hybrid,56353,158973,59.0,1.99,1.8,2.73,8,695
Ford,2016,10,France,Ranger,SUV,Electric,92616,148614,93.0,1.7,1.95,3.7,10,2326
Ford,2015,3,Australia,Mustang Mach-E,Electric,Electric,28900,733958,13.0,1.52,3.36,4.1,8,1737
Toyota,2022,8,China,Yaris,Sedan,Hybrid,82652,150680,66.0,1.16,5.77,3.64,9,2328
Ford,2021,3,Italy,Bronco,SUV,Electric,62715,576279,52.0,1.89,0.59,3.55,9,1451
Volkswagen,2024,10,UK,Arteon,Sedan,Electric,25575,491093,,1.78,1.76,5.14,2,676
Audi,2016,10,Spain,Q5,SUV,Electric,102640,330823,15.0,1.74,1.16,3.71,6,754
Ford,2016,11,Japan,Ranger,SUV,Petrol,65384,478750,73.0,1.53,1.59,0.35,4,1251
Porsche,2024,5,Spain,718,Sedan,Hybrid,103373,188151,8.0,1.8,0.87,3.44,8,426
Volkswagen,2018,7,India,Taos,SUV,Petrol,58349,555445,82.0,1.14,7.46,6.23,10,215
Porsche,2021,11,India,911,Sedan,Petrol,170709,,26.0,1.07,7.33,6.63,6,362
Tesla,2020,12,USA,Model Y,Electric,Electric,100331,53311,9.0,0.91,2.67,4.5,7,2201
Tesla,2020,7,Brazil,Model X,,Electric,66318,143256,,1.3,3.31,10.52,2,1834
Toyota,2023,12,,RAV4,,Hybrid,48438,,85.0,1.91,1.06,3.66,9,
Ford,2022,2,Australia,Mustang Mach-E,Electric,Hybrid,71200,665023,40.0,1.63,2.7,4.33,4,1568
Audi,2015,8,Japan,Q7,SUV,Electric,37013,355395,47.0,1.47,0.9,0.32,6,903
Toyota,2023,4,Australia,RAV4,SUV,Hybrid,50159,,24.0,1.63,2.83,4.2,6,897
Tesla,2016,10,Australia,Cybertruck,Electric,Electric,126632,240713,28.0,1.54,2.61,4.42,6,178
Audi,2018,9,Japan,A3,Sedan,Diesel,76989,352826,36.0,1.5,,0.3,2,
Audi,2023,5,Spain,Q7,SUV,Petrol,45339,417936,27.0,1.69,1.11,3.56,3,545
Porsche,2023,11,Australia,GTS,Sedan,Hybrid,63463,113749,14.0,1.53,2.91,4.02,2,135
Audi,2017,1,Canada,A6,Sedan,Diesel,74439,369992,39.0,1.33,1.84,3.79,1,359
BMW,2021,12,Canada,X1,Electrc,Hybrid,117844,441897,332.0,1.3042919277442944,2.643701592820221,4.276081362643268,9,738
Porsche,2017,1,Germany,Macan,SUV,Electric,75229,382368,17.0,1.91,1.33,3.28,6,326
Mercedes-Benz,2019,2,Brazil,GLC,SUV,Electric,106071,446815,45.0,1.22,3.64,10.22,7,630
Mercedes-Benz,2024,7,France,GLC,SUV,Petrol,75828,324931,55.0,1.88,1.59,3.35,6,923
Tesla,2017,10,Australia,Model 3,Electric,Electric,101547,75103,26.0,1.7,3.18,4.24,6,1953
Ford,2018,8,USA,Escape,SUV,Hybrid,53377,364081,56.0,1.07,2.41,4.77,5,2799
Porsche,2021,10,Brazil,Panamera Sport,Sedan,Petrol,152331,374979,17.0,1.3,3.41,10.25,2,414
Porshe,2015,6,Brazil,718,Sedan,Electric,103573,329082,9.0,,3.22,10.61,1,69
Porsche,2015,2,Italy,Taycan,Electric,Petrol,134693,379511,11.0,1.79,0.8,3.27,7,493
Toyota,2023,10,USA,RAV4,SUV,Petrol,86427,468604,34.0,0.99,2.63,4.58,8,1618
BMW,2023,3,France,X7,SUV,Hybrd,44121,314080,164.0,1.815094835575176,1.6857755812734634,3.764138144854975,6,742
Audi,2022,11,Australia,Q5,SUV,Electric,32095,194790,,1.6,3.28,4.25,2,721
Volkswagen,2024,2,UK,Polo,Sedan,Diesel,72641,183908,56.0,1.8,1.75,4.92,5,1057
Tesla,2022,5,Japan,Model X Plaid,Electric,Electric,42213,,13.0,1.44,1.5,0.31,5,796
Volkswagen,2018,10,Italy,Golf,Sedan,Diesel,71233,509039,35.0,1.77,1.01,3.48,9,170
Volkswagen,2016,7,Canada,Taos,,Petrol,72772,,56.0,1.29,1.83,4.29,2,1425
Toyota,2018,7,USA,Highlander,SUV,Hybrid,74410,699522,86.0,1.02,2.66,4.45,1,2267
BMW,2023,1,Canada,5 Series,Electric,Electric,71444,173777,123.0,1.323569448040243,2.383248028289646,3.998304858405057,2,697
Audo,2023,4,Japan,TT,Sedan,Diesel,82774,415711,45.0,1.48,1.36,-0.07,2,929
