,brand,year,month,country,model,segment,engine_type,price_usd,marketing_spend_usd,dealership_count,fuel_price_usd,gdp_growth_percent,interest_rate_percent,competition_index,units_sold
51,Porsche,2021.0,6.0,USA,Macan,Suv,Electric,151332.0,274733.0,9.0,1.01,2.71,4.55,6,283.0
52,Mercedes-Benz,2023.0,2.0,Germany,GLC,Suv,Diesel,67966.0,422486.0,21.0,2.0,2.29,2.79,3,123.0
53,BMW,2018.0,11.0,USA,iX,Sedan,Diesel,70333.0,327721.0,126.0,0.9913430092765712,2.152539042914261,4.545773016100088,2,634.0
54,Ford,2024.0,12.0,Italy,Mustang Mach-E,Suv,Electric,31683.0,659270.0,40.0,1.89,0.99,3.35,10,3450.0
55,BMW,2018.0,10.0,Brazil,5 Series,Suv,Hybrid,70081.0,164881.0,141.0,1.2130266367178415,3.8721239089441513,10.759270969490167,9,529.0
56,Ford,2021.0,8.0,Mexico,Ranger,Suv,Hybrid,39098.0,255537.0,41.0,1.0,1.63,10.83,10,384.0
57,Volkswagen,2024.0,7.0,Germany,Touareg,Suv,Electric,26032.0,418015.0,80.0,1.93,2.16,2.73,3,534.0
59,Tesla,2017.0,12.0,USA,Semi,Suv,Electric,98133.0,270271.0,19.0,0.97,2.63,4.61,7,50.0
60,Volkswagen,2015.0,6.0,Italy,Tiguan,Suv,Hybrid,32970.0,416504.0,25.0,1.93,1.17,3.62,4,1678.0
61,Tesla,2016.0,3.0,China,Model 3,Suv,Electric,122387.0,270067.0,39.0,1.09,6.32,3.45,7,1024.0
62,Tesla,2016.0,3.0,Netherlands,Model S Plaid,Suv,Electric,41819.0,208731.0,34.0,1.99,1.8,3.55,5,1892.0
63,Toyota,2024.0,6.0,Netherlands,C-HR,Suv,Electric,28655.0,386833.0,87.0,1.92,2.03,3.68,8,989.0
64,Porsche,2019.0,5.0,Mexico,Cayenne,Suv,Hybrid,162668.0,164301.0,22.0,1.03,1.75,10.82,6,416.0
65,Tesla,2020.0,9.0,Australia,Model X Plaid,Suv,Electric,51446.0,221093.0,10.0,1.52,2.88,4.27,7,446.0
66,Volkswagen,2015.0,2.0,UK,Touareg,Suv,Hybrid,69042.0,306054.0,54.0,1.8,1.15,5.08,2,554.0
67,Tesla,2019.0,9.0,France,Model 3,Suv,Electric,110992.0,17624.0,18.0,1.73,2.06,3.54,7,1480.0
68,Toyota,2015.0,7.0,Mexico,Camry,Sedan,Hybrid,32362.0,618173.0,73.0,1.03,1.51,10.87,9,124.0
69,Tesla,2024.0,7.0,Brazil,Semi,Suv,Electric,124647.0,123810.0,38.0,1.18,3.66,10.21,3,2316.0
70,Audi,2024.0,8.0,France,RS6,Sedan,Diesel,58938.0,58529.0,40.0,1.8,1.6277011090863,3.42,8,335.0
71,Toyota,2022.0,10.0,Canada,Yaris,Sedan,Hybrid,32294.0,112812.0,61.0,1.21,2.3,4.21,7,285.0
72,Tesla,2023.0,3.0,Germany,Semi,Suv,Electric,68430.0,173600.0,14.0,1.91,1.68,2.99,9,2278.0
73,Tesla,2018.0,1.0,France,Cybertruck,Suv,Electric,102532.0,195473.0,31.0,1.79,1.53,3.29,1,621.0
74,Audi,2016.0,7.0,Italy,A4,Sedan,Electric,114904.0,341713.0,6.0,1.91,0.77,3.22,5,711.0
75,BMW,2024.0,12.0,France,7 Series,Sedan,Diesel,84646.0,277966.0,282.0,1.8800037283696207,1.1109958286584805,3.282131378041284,7,736.0
76,BMW,2021.0,8.0,Australia,7 Series,Sedan,Electric,106466.0,78885.0,329.0,1.686151465120713,3.2764129607419967,4.15448212415181,1,749.0
77,Toyota,2024.0,12.0,Italy,RAV4,Suv,Hybrid,88008.0,236854.0,32.0,1.83,1.04,3.66,1,1482.0
78,Mercedes-Benz,2023.0,4.0,UK,E-Class,Sedan,Hybrid,121226.0,69737.0,38.0,1.78,1.54,4.89,3,1027.0
79,Audi,2022.0,8.0,Mexico,RS6,Sedan,Petrol,84387.0,211579.0,12.0,1.08,2.16,11.08,6,501.0
80,BMW,2017.0,11.0,China,5 Series,Suv,Electric,118434.0,442704.0,64.0,1.0984555712896071,5.680976952709489,3.7126310560217473,4,216.0
81,Audi,2016.0,4.0,Germany,e-tron,Suv,Petrol,89579.0,498760.0,11.0,1.9,1.41,2.78,1,289.0
82,Volkswagen,2017.0,4.0,USA,Golf,Sedan,Electric,33396.0,112409.0,76.0,0.97,2.28,4.46,10,1632.0
83,Ford,2016.0,7.0,China,Escape,Suv,Petrol,94629.0,72852.0,36.0,1.0950000000000002,6.36,3.45,7,330.0
84,Porsche,2017.0,2.0,UK,Cayenne Coupe,Suv,Electric,65739.0,290476.0,28.0,1.51,2.97,3.98,8,389.0
85,Ford,2021.0,9.0,Japan,Edge,Suv,Petrol,94785.0,328113.0,114.0,1.49,1.4,-0.1,5,1505.0
86,Tesla,2019.0,5.0,USA,Model X,Suv,Electric,56053.0,103000.0,33.0,0.97,2.72,4.67,5,898.0
87,Ford,2018.0,5.0,India,Mustang Mach-E,Suv,Petrol,50313.0,548051.0,72.0,1.13,6.95,6.7,1,1242.0
88,Mercedes-Benz,2024.0,9.0,Spain,E-Class,Sedan,Diesel,84415.0,75034.0,19.0,1.8,1.43,3.53,3,608.0
89,Porsche,2019.0,2.0,Canada,GTS,Sedan,Hybrid,173555.0,131216.0,25.0,1.32,2.34,3.87,8,486.0
90,Tesla,2018.0,12.0,China,Model S Plaid,Suv,Electric,43237.0,98727.0,27.0,1.09,5.8,3.23,6,363.0
91,Toyota,2024.0,6.0,Australia,Prius,Suv,Hybrid,20897.0,648648.0,27.0,1.63,2.9,4.45,1,2658.0
92,Ford,2021.0,3.0,Japan,Ranger,Suv,Hybrid,83132.0,668788.0,100.0,1.44,1.5,-0.18,2,1173.0
93,BMW,2022.0,6.0,Germany,X5,Sedan,Diesel,56650.0,357481.0,168.0,1.903783541056568,1.718770524892073,2.9298831169496986,3,753.0
94,Mercedes-Benz,2015.0,2.0,China,EQS,Suv,Electric,82135.0,363928.0,23.0,1.04,6.23,3.72,5,397.0
95,Mercedes-Benz,2020.0,2.0,USA,E-Class,Sedan,Electric,43722.0,178470.0,32.0,0.96,2.8,4.64,9,574.0
96,Porsche,2016.0,5.0,USA,Macan,Suv,Electric,132946.0,329849.0,17.0,0.92,2.5,4.56,4,6.0
98,BMW,2022.0,2.0,UK,X5,Sedan,Diesel,77674.0,288765.0,308.0,1.8305102694527564,1.8772005408131085,4.935467064453581,10,925.0
99,Toyota,2016.0,6.0,France,Camry,Sedan,Petrol,46545.0,369859.0,78.0,1.87,1.81,3.39,4,1370.0
100,Toyota,2015.0,4.0,China,Camry,Sedan,Electric,67481.0,284663.0,88.0,1.09,5.68,3.74,3,2536.0
101,Audi,2017.0,3.0,Canada,e-tron,Suv,Electric,44280.0,242186.0,40.0,1.38,2.12,4.03,9,287.0
102,Tesla,2019.0,7.0,UK,Model S,Suv,Electric,93409.0,17890.0,25.0,1.82,1.49,4.81,2,1692.0
103,BMW,2024.0,8.0,Australia,i4,Suv,Petrol,35901.0,287989.0,38.0,1.6593074581952354,3.4208478478156867,4.319990188712443,6,207.0
105,Porsche,2024.0,1.0,Canada,718,Sedan,Hybrid,180532.0,364148.0,6.0,1.37,1.98,3.76,1,359.0
106,Audi,2019.0,8.0,France,A3,Sedan,Electric,112599.0,539722.0,39.0,1.73,1.31,3.78,10,1058.0
107,Ford,2021.0,10.0,India,Ranger,Suv,Hybrid,86771.0,134381.0,58.0,1.13,7.05,6.52,2,360.0
108,Tesla,2017.0,7.0,China,Model S Plaid,Suv,Electric,85554.0,175060.0,33.0,1.12,6.36,3.5,4,1863.0
109,Tesla,2019.0,12.0,Australia,Cybertruck,Suv,Electric,45655.0,129131.0,21.0,1.7,3.01,4.53,1,190.0
110,Audi,2018.0,2.0,Mexico,Q7,Suv,Hybrid,111299.0,259754.0,55.0,1.09,1.98,11.1,7,991.0
111,Toyota,2024.0,7.0,India,Land Cruiser,Suv,Electric,75165.0,442871.0,61.0,1.01,7.06,6.42,1,2057.0
112,Mercedes-Benz,2024.0,1.0,Canada,A-Class,Sedan,Diesel,46398.0,523920.0,35.0,1.35,1.94,4.15,9,883.0
113,Porsche,2018.0,8.0,USA,911,Sedan,Electric,103122.0,377731.0,10.0,0.96,2.73,4.65,6,116.0
114,Tesla,2024.0,4.0,Brazil,Semi,Suv,Electric,127640.0,281404.0,26.0,1.18,3.75,10.4,5,75.0
115,Volkswagen,2024.0,9.0,Japan,Tiguan,Suv,Diesel,63429.0,419935.0,15.0,1.45,1.31,0.23,8,2199.0
116,Ford,2022.0,7.0,Germany,Bronco,Suv,Hybrid,64010.0,485765.0,112.0,1.9,1.34,2.95,5,3689.0
117,BMW,2023.0,11.0,Brazil,3 Series,Suv,Diesel,53557.0,219357.0,187.0,1.107344272500164,3.007664032649225,10.331441285461114,1,599.0
118,Toyota,2023.0,1.0,Mexico,Supra,Sedan,Electric,49228.0,311484.0,55.0,1.02,2.32,11.18,7,2452.0
119,Mercedes-Benz,2015.0,5.0,Mexico,GLS,Suv,Electric,116528.0,102302.0,9.0,1.11,1.71,11.1,4,1108.0
120,Toyota,2018.0,12.0,China,RAV4,Suv,Petrol,40251.0,531571.0,14.0,1.07,6.31,3.46,9,185.0
121,Porsche,2024.0,1.0,Italy,Cayenne Coupe,Suv,Petrol,186996.0,254634.0,14.0,1.87,0.9,3.59,7,438.0
122,Mercedes-Benz,2019.0,12.0,USA,GLC,Suv,Hybrid,93080.0,282042.0,30.0,0.91,2.56,4.71,8,442.0
123,Volkswagen,2019.0,3.0,Spain,Tiguan,Suv,Hybrid,40374.0,446682.0,27.0,1.67,0.86,3.44,7,646.0
124,Audi,2017.0,6.0,Spain,A3,Sedan,Diesel,80811.0,429365.0,26.0,1.68,0.89,3.32,3,514.0
125,Tesla,2015.0,7.0,Netherlands,Model S,Suv,Electric,71390.0,193098.0,36.0,2.07,2.5,3.24,6,2173.0
126,Audi,2019.0,6.0,Brazil,RS6,Sedan,Electric,82730.0,548862.0,56.0,1.19,3.35,10.79,7,1160.0
127,Tesla,2020.0,3.0,Brazil,Model S Plaid,Suv,Electric,104594.0,166602.0,33.0,1.23,3.54,10.23,6,1282.0
128,Tesla,2021.0,8.0,Mexico,Model S Plaid,Suv,Electric,106689.0,275741.0,30.0,1.2,2.085,11.0,1,2342.0
129,Mercedes-Benz,2020.0,3.0,Japan,E-Class,Sedan,Hybrid,61949.0,404570.0,22.0,1.42,1.43,-0.18,2,322.0
130,Tesla,2020.0,2.0,France,Model S,Suv,Electric,51762.0,25825.0,16.0,1.87,1.79,3.66,3,167.0
131,Audi,2022.0,2.0,France,A6,Sedan,Petrol,49304.0,196613.0,10.0,1.88,1.86,3.3,10,95.0
132,Volkswagen,2020.0,7.0,China,Tiguan,Suv,Petrol,58026.0,70636.0,16.0,1.1,6.08,3.21,1,843.0
133,Volkswagen,2022.0,4.0,China,Polo,Sedan,Petrol,74560.0,503424.0,88.0,1.08,6.46,3.38,5,1635.0
134,Audi,2019.0,5.0,Australia,A3,Sedan,Electric,38001.0,423164.0,42.0,1.59,3.06,4.0,2,87.0
135,Volkswagen,2023.0,10.0,Spain,Tiguan,Suv,Petrol,20428.0,126200.0,79.0,1.83,1.78,3.73,4,1335.0
136,Porsche,2024.0,4.0,Brazil,911,Sedan,Hybrid,110075.0,227919.0,27.0,1.18,3.78,10.47,2,28.0
137,Volkswagen,2023.0,2.0,Mexico,Arteon,Sedan,Petrol,50742.0,483672.0,87.0,1.14,1.52,11.07,6,1030.0
138,Ford,2019.0,4.0,China,Mustang Mach-E,Suv,Petrol,89472.0,51850.0,98.0,1.14,6.31,3.25,10,3428.0
139,Mercedes-Benz,2024.0,8.0,Canada,E-Class,Sedan,Diesel,125369.0,347849.0,37.0,1.22,1.83,3.93,2,714.0
140,Ford,2021.0,12.0,Brazil,Mustang Mach-E,Suv,Electric,52510.0,322029.0,114.0,1.28,3.84,10.53,8,2814.0
142,Volkswagen,2023.0,1.0,China,ID.3,Suv,Hybrid,25909.0,460988.0,57.0,1.1,5.56,3.57,5,1779.0
143,Tesla,2024.0,2.0,Mexico,Model 3,Suv,Electric,56067.0,242092.0,17.0,1.03,1.54,11.18,4,2294.0
144,Mercedes-Benz,2021.0,2.0,India,CLA,Sedan,Diesel,57799.0,256865.0,55.0,1.1,7.33,6.54,5,269.0
145,Ford,2015.0,9.0,Italy,Escape,Suv,Electric,48684.0,258677.0,109.0,1.8,0.73,3.79,6,1942.0
146,Ford,2024.0,11.0,Spain,F-150 Lightning,Suv,Electric,81599.0,74148.0,30.0,1.83,1.25,3.38,8,3828.0
147,Mercedes-Benz,2020.0,4.0,Brazil,GLS,Suv,Hybrid,50717.0,465282.0,25.0,1.24,3.05,10.44,9,928.0
148,Audi,2015.0,7.0,Germany,TT,Sedan,Hybrid,58440.0,437341.0,56.0,1.99,1.57,2.84,3,1133.0
149,BMW,2023.0,6.0,Brazil,X3,Suv,Electric,100681.0,245413.0,103.0,1.122144118665263,3.380400548970409,10.786080197106395,3,235.0
150,Porsche,2019.0,7.0,China,Taycan,Suv,Hybrid,198950.0,345106.0,20.0,1.11,6.11,3.23,2,483.0
151,Ford,2023.0,3.0,Germany,Edge,Suv,Petrol,79304.0,595903.0,111.0,1.85,1.71,2.88,1,924.0
152,Toyota,2015.0,6.0,Germany,bZ4X,Suv,Hybrid,82919.0,571761.0,16.0,1.99,2.12,3.18,6,784.0
153,Porsche,2016.0,11.0,France,Macan EV,Suv,Hybrid,186926.0,276896.0,6.0,1.88,1.86,3.59,2,246.0
154,Mercedes-Benz,2021.0,6.0,Brazil,EQS,Suv,Hybrid,95967.0,436958.0,43.0,1.13,3.09,10.46,3,430.0
155,BMW,2021.0,3.0,Germany,X1,Suv,Diesel,74449.0,275192.0,58.0,1.8711345432929896,1.6892956140419766,2.87321624206242,2,542.0
156,Ford,2022.0,6.0,Netherlands,Explorer,Suv,Electric,48692.0,66499.0,106.0,1.94,2.06,3.73,8,646.0
157,Toyota,2021.0,8.0,USA,Yaris,Sedan,Hybrid,22182.0,79499.0,43.0,0.93,2.93,4.55,10,625.0
158,Ford,2024.0,3.0,UK,F-150,Suv,Hybrid,39508.0,436642.0,49.0,1.83,1.4849999999999999,4.79,10,1933.0
159,Volkswagen,2022.0,6.0,Mexico,Golf,Sedan,Electric,66121.0,150354.0,48.0,1.05,1.71,10.85,1,1136.0
160,Audi,2022.0,10.0,Italy,A3,Sedan,Diesel,36863.0,161663.0,57.0,1.87,1.2,3.31,2,529.0
161,Toyota,2024.0,6.0,Mexico,Corolla,Sedan,Hybrid,21933.0,456622.0,41.0,1.11,2.36,10.92,10,2318.0
162,Toyota,2022.0,10.0,Netherlands,Supra,Sedan,Hybrid,49906.0,356157.0,49.0,2.04,2.49,3.58,5,1646.0
163,Porsche,2022.0,1.0,China,Macan,Suv,Petrol,114954.0,150581.0,15.0,1.02,6.16,3.46,9,392.0
164,Porsche,2016.0,4.0,Netherlands,Cayenne,Suv,Electric,194205.0,340006.0,11.0,1.99,2.2,3.59,6,76.0
165,Ford,2023.0,4.0,Spain,F-150 Lightning,Suv,Petrol,43817.0,111829.0,71.0,1.73,1.52,3.53,7,1963.0
166,Ford,2018.0,4.0,France,Ranger,Suv,Petrol,34932.0,687534.0,70.0,1.84,1.27,3.61,2,3890.0
167,Ford,2020.0,1.0,Brazil,Mustang,Sedan,Hybrid,77452.0,725736.0,24.0,1.1,3.65,10.68,5,2781.0
168,BMW,2017.0,10.0,UK,5 Series,Suv,Electric,118886.0,186066.0,106.0,0.9789789744182448,7.408265885966654,6.343737134400183,3,357.0
169,Mercedes-Benz,2018.0,10.0,UK,GLS,Suv,Hybrid,41830.0,410032.0,29.0,1.87,1.68,4.74,9,539.0
170,Audi,2017.0,2.0,India,Q3,Suv,Petrol,103172.0,503801.0,26.0,1.11,6.66,6.21,3,1018.0
171,Ford,2017.0,6.0,India,Explorer,Suv,Hybrid,84439.0,451622.0,55.0,0.98,6.5,6.22,4,1523.0
172,BMW,2015.0,1.0,USA,7 Series,Sedan,Hybrid,60186.0,305230.0,312.0,0.9253628615582612,2.505,4.284014458531991,5,922.0
173,Audi,2019.0,10.0,Italy,A4,Sedan,Petrol,55629.0,530168.0,24.0,1.77,0.78,3.27,4,29.0
174,Mercedes-Benz,2023.0,3.0,France,EQE,Suv,Diesel,81045.0,290953.0,62.0,1.80109102358209,1.62,3.64,10,294.0
175,Ford,2022.0,11.0,Italy,Expedition,Suv,Electric,91463.0,464411.0,31.0,1.89,1.02,3.79,1,1920.0
176,Volkswagen,2021.0,4.0,Netherlands,Passat,Sedan,Diesel,27961.0,285638.0,26.0,2.08,2.02,3.79,7,1399.0
177,Mercedes-Benz,2018.0,8.0,Italy,CLA,Sedan,Electric,79002.0,362766.0,42.0,1.89,0.75,3.21,7,901.0
178,Audi,2023.0,6.0,Italy,Q3,Suv,Diesel,56050.0,146054.0,40.0,1.77,1.15,3.45,1,829.0
179,Audi,2015.0,5.0,USA,RS6,Sedan,Electric,59505.0,540100.0,21.0,0.95,2.53,4.57,2,897.0
180,Audi,2022.0,7.0,India,A3,Sedan,Diesel,113377.0,403473.0,44.0,1.08,7.26,6.66,4,95.0
181,Audi,2017.0,4.0,Mexico,RS6,Sedan,Petrol,108515.0,143453.0,19.0,1.03,1.87,10.71,6,1171.0
182,Porsche,2015.0,5.0,Brazil,Macan,Suv,Electric,129100.0,237718.0,14.0,1.21,3.92,10.39,9,118.0
183,Mercedes-Benz,2019.0,4.0,Brazil,E-Class,Sedan,Petrol,113990.0,514968.0,23.0,1.11,3.47,10.29,1,569.0
184,Volkswagen,2024.0,2.0,Netherlands,Passat,Sedan,Diesel,35200.0,137174.0,24.0,2.06,2.19,3.66,3,2755.0
185,Volkswagen,2024.0,7.0,UK,Taos,Suv,Diesel,24769.0,207409.0,30.0,1.76,1.42,3.34,10,2038.0
186,Ford,2020.0,8.0,Brazil,Edge,Suv,Hybrid,44887.0,296790.0,66.0,1.27,3.73,10.69,9,2546.0
187,Tesla,2016.0,12.0,Mexico,Model X Plaid,Suv,Electric,124922.0,129629.0,23.0,1.15,1.82,11.1,10,2216.0
188,BMW,2017.0,2.0,Canada,3 Series,Suv,Electric,63369.0,274522.0,153.0,1.309845332941224,1.8564370426710863,3.850145738898757,5,532.0
189,Mercedes-Benz,2022.0,12.0,UK,EQE,Suv,Hybrid,116444.0,431465.0,61.0,1.66,0.99,3.47,1,944.0
190,Porsche,2019.0,8.0,Germany,Panamera,Sedan,Petrol,70112.0,84806.0,25.0,1.87,1.58,2.81,1,196.0
191,Toyota,2018.0,3.0,USA,bZ4X,Suv,Hybrid,25970.0,566162.0,50.0,1.03,2.74,4.57,4,1005.0
192,Tesla,2021.0,8.0,Netherlands,Model X Plaid,Suv,Electric,128320.0,166765.0,8.0,1.97,1.92,3.37,1,2151.0
193,Tesla,2019.0,12.0,China,Model 3,Suv,Electric,125786.0,104910.0,19.0,1.02,6.4,3.5,2,1773.0
194,Ford,2016.0,3.0,Canada,Bronco,Suv,Hybrid,68316.0,401858.0,34.0,1.27,2.19,4.23,4,2786.0
195,Mercedes-Benz,2018.0,9.0,USA,E-Class,Sedan,Diesel,93265.0,240386.0,48.0,0.93,2.07,4.67,10,537.0
196,Tesla,2024.0,1.0,China,Semi,Suv,Electric,127992.0,293628.0,13.0,1.04,6.1,3.49,8,899.0
197,Toyota,2023.0,9.0,Canada,RAV4,Suv,Petrol,45355.0,69594.0,74.0,1.25,2.42,4.05,6,2792.0
198,Porsche,2015.0,11.0,France,718,Sedan,Electric,125284.0,375286.0,29.0,1.87,1.97,3.29,10,99.0
199,BMW,2015.0,12.0,UK,7 Series,Sedan,Diesel,39321.0,308916.0,115.0,1.2203784776132027,2.440904056152072,3.889762089837584,4,367.0
200,BMW,2018.0,5.0,France,i4,Suv,Electric,95973.0,395072.0,71.0,1.7835161551569858,1.886345014415552,3.253646601387356,1,536.0
201,Audi,2022.0,9.0,UK,Q7,Suv,Electric,113749.0,457955.0,12.0,1.77,1.04,4.85,9,24.0
202,Mercedes-Benz,2021.0,5.0,Mexico,GLC,Suv,Petrol,101543.0,389404.0,23.0,1.19,2.1,11.22,8,367.0
203,Porsche,2023.0,9.0,France,Macan EV,Suv,Electric,161671.0,240029.5,18.0,1.81,1.39,3.4,8,8.0
205,Mercedes-Benz,2023.0,8.0,France,GLS,Suv,Hybrid,40018.0,535796.0,20.0,1.78,2.04,3.61,1,779.0
206,BMW,2018.0,3.0,USA,X5,Sedan,Electric,47615.0,343459.0,38.0,0.930175661963354,2.5062882996683724,4.498349103535431,4,225.0
207,Audi,2019.0,7.0,UK,e-tron,Suv,Hybrid,57237.0,59234.0,49.0,1.86,1.63,5.0,1,121.0
208,Mercedes-Benz,2018.0,10.0,Spain,GLE,Suv,Electric,65574.0,392137.0,60.0,1.71,1.31,3.47,5,1251.0
209,Ford,2019.0,6.0,Germany,Mustang,Sedan,Hybrid,56353.0,158973.0,59.0,1.99,1.8,2.73,8,695.0
210,Ford,2016.0,10.0,France,Ranger,Suv,Electric,92616.0,148614.0,93.0,1.7,1.95,3.7,10,2326.0
211,Ford,2015.0,3.0,Australia,Mustang Mach-E,Suv,Electric,28900.0,733958.0,13.0,1.52,3.36,4.1,8,1737.0
212,Toyota,2022.0,8.0,China,Yaris,Sedan,Hybrid,82652.0,150680.0,66.0,1.16,5.77,3.64,9,2328.0
213,Ford,2021.0,3.0,Italy,Bronco,Suv,Electric,62715.0,576279.0,52.0,1.89,0.59,3.55,9,1451.0
